level_0,level_1,level_2,linearity,planarity,scattering,omnivariance,sum_of_eigenvalues,anisotropy,eigenentropy,change_of_curvature,residual,processed,new_classification
108,32,9,0.587354099153674,0.2105261564101287,0.2021197444361972,0.5747187261042139,2.1240729284876516,0.7978802555638027,0.3232574560890643,0.125169708079115,1.145983064788708,True,Trees
99,64,1,0.1730054199588134,0.8232320631070555,0.003762516934131,0.2413745598647564,3.0268798276508377,0.996237483065869,-1.2274646922904529,0.0020551699296139,1.282306795421226,True,Trees
88,4,5,0.0155860450463891,0.9841473634017092,0.0002665915519016,0.0869063046187573,2.6940181348286303,0.9997334084480984,-0.7992578590171376,0.0001343246661892,1.1625139935029554,True,Terrain
86,69,2,0.462688034073561,0.4083574669706568,0.1289544989557821,0.8571166081077108,3.4772028530892625,0.8710455010442179,-1.3102624763367303,0.0773912826511197,1.4324594670122877,True,Trees
38,8,4,0.0296512020855152,0.9515216770276856,0.0188271208867991,0.353298451189144,2.668359449036759,0.9811728791132008,-0.6443071251359584,0.0094647842399704,1.1608784491870463,True,Terrain
78,64,4,0.9446436090094514,0.0365109797326508,0.0188454112578976,0.2713833338683987,2.874382681450029,0.9811545887421024,-2.2002029555879963,0.0175436414447003,1.6040061226126578,True,Trees
111,13,13,0.270890848977192,0.6026010414384424,0.1265081095843656,0.5410925717219909,2.2222333982617517,0.8734918904156342,0.1884242758425787,0.0681757559977487,1.0947134493148118,True,Trees
75,65,4,0.2722884544858206,0.3922929210213085,0.3354186244928709,1.0622137444393671,3.506628301795129,0.6645813755071291,-0.8441224497756648,0.162577538426344,1.3044900177673184,True,Trees
8,62,4,0.0128091639368792,0.986882167502629,0.0003086685604916,0.0902595604378253,2.6658501848853184,0.9996913314395084,-0.7623983087855317,0.0001553049748055,1.1577204165409123,True,Terrain
21,11,4,0.058988772489926,0.9281308429743422,0.0128803845357317,0.3141936458344344,2.672534508079782,0.9871196154642682,-0.6821185586805737,0.0065921694204139,1.1673259301195404,True,Terrain
81,0,3,0.887069493494779,0.0947986956014446,0.0181318109037762,0.1731646065542131,1.542392287862086,0.9818681890962238,-0.0433922805485005,0.0160307797587245,1.1665327990363517,True,Terrain
107,56,6,0.2337282343419239,0.7353731833569777,0.0308985823010984,0.4436502344000716,2.7766608316297376,0.9691014176989016,-0.726779336922795,0.0171929068027336,1.242879999642187,True,Terrain
75,66,4,0.4107439263778196,0.3579620189663038,0.2312940546558765,0.6727845690630937,2.3800668266140725,0.7687059453441235,0.2123044034650583,0.1270462433652639,1.1412505614420736,True,Trees
40,64,5,0.5927694573590786,0.0732858800407088,0.3339446626002125,0.128017920219689,0.4334526125367889,0.6660553373997875,0.7849835117707876,0.1917926820890863,0.4971719301214663,True,Trees
116,53,14,0.4415458251124667,0.3028310452381985,0.2556231296493347,0.4128392903747753,1.4329825977505253,0.7443768703506651,0.8703557320045828,0.1409108250293639,0.8868041798732601,True,Trees
39,6,3,0.0427702667619897,0.9468702114280656,0.0103595218099446,0.2870875077688547,2.6292392544679393,0.9896404781900554,-0.6430043295941136,0.0052650835449353,1.158101852232757,True,Terrain
87,59,2,0.1530495445345724,0.5202573700633945,0.3266930854020331,0.9191724240620764,3.066097743343007,0.6733069145979669,-0.340743856089105,0.1502974518405423,1.1868446518587503,True,Trees
